time,avg
0,0.759135
5,0.794126
10,0.790300
15,0.802565
20,0.806534
25,0.815172
30,0.814249
35,0.812504
40,0.827545
45,0.830016
50,0.831332
55,0.826110
60,0.835450
65,0.835970
70,0.835541
75,0.834787
80,0.830934
85,0.837279
90,0.836877
95,0.836961
100,0.838278
105,0.849201
110,0.841670
115,0.846654
120,0.843814
125,0.845909
130,0.845546
135,0.848003
140,0.849003
145,0.848053
150,0.846805
155,0.847653
160,0.847494
165,0.848789
170,0.846295
175,0.847730
180,0.850123
185,0.847490
190,0.849817
195,0.848675
200,0.849809
205,0.848757
210,0.848497
215,0.847778
220,0.851297
225,0.849393
230,0.849826
235,0.847729
240,0.851200
245,0.848287
250,0.849974
255,0.849424
260,0.851304
265,0.849944
270,0.849718
275,0.850049
280,0.850057
285,0.851073
290,0.849826
295,0.850621
300,0.849900
305,0.852215
310,0.851624
315,0.850920
320,0.851564
325,0.852116
330,0.850026
335,0.851350
340,0.850962
345,0.850327
350,0.850490
355,0.851147
360,0.850646
365,0.852103
370,0.850448
375,0.851911
380,0.851001
385,0.850807
390,0.851508
395,0.850697
400,0.850232
405,0.850255
410,0.851067
415,0.849618
420,0.851942
425,0.850114
430,0.850269
435,0.850311
440,0.850939
445,0.850406
450,0.851833
455,0.850373
460,0.851363
465,0.851913
470,0.851328
475,0.850927
480,0.851346
485,0.851069
490,0.851412
495,0.850615
500,0.850663
505,0.851177
510,0.850819
515,0.851973
520,0.851253
525,0.852116
530,0.851470
535,0.851127
540,0.851363
545,0.852269
550,0.851542
555,0.851297
560,0.850852
565,0.851341
570,0.851305
575,0.851868
580,0.851123
585,0.851943
590,0.851764
595,0.851370
600,0.851663
605,0.852140
610,0.851981
615,0.852289
620,0.851944
625,0.852391
630,0.852311
635,0.851523
640,0.852157
645,0.851521
650,0.852283
655,0.851732
660,0.852059
665,0.852713
670,0.851816
675,0.852013
680,0.852183
685,0.852291
690,0.852137
695,0.852137
700,0.852383
705,0.851824
710,0.851826
715,0.851828
720,0.851957
725,0.852469
730,0.852669
735,0.852185
740,0.851852
745,0.852616
750,0.852438
755,0.852056
760,0.851558
765,0.852143
770,0.851619
775,0.851964
780,0.851532
785,0.852208
790,0.851937
795,0.851348
800,0.852053
805,0.851564
810,0.851750
815,0.851542
820,0.851837
825,0.852038
830,0.851325
835,0.851814
840,0.851924
845,0.850638
850,0.851984
855,0.850743
860,0.850943
865,0.850406
870,0.850540
875,0.850464
880,0.850568
885,0.850643
890,0.850549
895,0.850235
900,0.851144
905,0.850722
910,0.850449
915,0.850864
920,0.850163
925,0.850548
930,0.849590
935,0.849710
940,0.849714
945,0.849351
950,0.848922
955,0.849216
960,0.848930
965,0.848682
970,0.848640
975,0.848515
980,0.848120
985,0.848192
990,0.848078
995,0.848630
1000,0.848251
1005,0.848278
1010,0.848151
1015,0.847959
1020,0.847615
1025,0.847572
1030,0.847169
1035,0.847497
1040,0.847400
1045,0.847043
1050,0.847327
1055,0.846817
1060,0.847061
1065,0.846611
1070,0.846977
1075,0.845794
1080,0.846711
1085,0.846583
1090,0.846458
1095,0.846876
1100,0.846276
1105,0.846400
1110,0.846270
1115,0.846355
1120,0.845886
1125,0.845818
1130,0.845868
1135,0.845531
1140,0.845510
1145,0.845922
1150,0.845632
1155,0.845861
1160,0.845274
1165,0.845553
1170,0.845403
1175,0.845503
1180,0.844710
1185,0.844678
1190,0.844438
1195,0.844360
1200,0.844633
1205,0.844369
1210,0.844545
1215,0.843417
1220,0.843779
1225,0.843434
1230,0.843624
1235,0.843464
1240,0.843265
1245,0.842089
1250,0.842500
1255,0.842043
1260,0.842267
1265,0.842024
1270,0.841561
1275,0.841720
1280,0.841540
1285,0.841717
1290,0.841230
1295,0.841029
